Timestamp,volData,currentData,batTempData,socData,sohData,motTempData,speedData
556,3.95006,0.310688014,32.5,38,79,34,120
558,3.96568,0.298524925,32.4,38,79,34,117
560,3.95006,0.323728794,32.4,38,79,34,111
562,3.82516,0.301631738,32.3,38,79,34,116
564,3.95006,0.322543787,32.3,38,79,34,123
566,3.91884,0.325707911,32.3,38,79,34,113
568,3.872,0.29080741,32.2,38,79,34,110
570,3.95006,0.323820909,32.2,38,79,34,110
572,3.95006,0.305685246,32.2,38,79,34,110
574,3.95006,0.299663817,32.2,38,79,34,116
576,3.82516,0.296940346,32.1,38,79,34,112
578,3.91884,0.307746963,32.1,38,79,34,119
580,3.91884,0.284768266,32.1,38,79,34,121
582,3.95006,0.320618163,31.8,38,79,34,112
584,3.96568,0.317485208,31.7,83,94,0,110
586,3.95006,0.310911828,31.8,82,94,31,123
588,3.98129,0.299410687,31.8,82,94,31,112
590,3.9969,0.280164568,31.8,82,94,31,117
592,4.02813,0.31546191,31.8,82,94,31,111
594,4.04374,0.300440964,31.8,82,94,31,113
596,3.96568,0.303285931,31.8,82,94,31,111
598,4.01252,0.294379538,31.8,82,94,31,116
600,3.93445,0.280367572,31.8,81,93,31,125
602,3.93445,0.314002923,31.8,81,93,32,118
604,3.93445,0.317938616,31.8,81,93,32,121
606,3.90323,0.296295443,31.8,78,92,32,125
608,3.80955,0.312415486,31.8,72,90,32,124
610,3.88761,0.290612833,31.8,72,90,32,119
612,3.95006,0.305761959,31.8,72,90,32,117
614,3.79394,0.316770841,31.8,70,90,32,118
616,3.85639,0.319774287,31.8,70,90,32,118
618,3.88761,0.293708723,31.8,70,90,32,117
620,3.88761,0.298426356,31.8,70,90,32,123
622,3.88761,0.313176796,31.8,70,90,32,123
624,3.88761,0.318760913,31.8,70,90,32,116
626,3.872,0.327662167,31.8,70,90,32,111
628,3.84077,0.323670002,31.8,70,90,32,117
630,3.80955,0.286054914,31.8,70,90,32,125
632,3.872,0.32139354,31.8,70,90,32,119
634,3.872,0.318909439,31.8,70,90,32,112
636,3.90323,0.292049441,31.8,70,90,32,122
638,3.872,0.293762701,31.8,70,90,32,119
640,3.77832,0.285992285,31.8,69,89,32,125
642,3.77832,0.310574459,31.8,69,89,32,113
644,3.872,0.306704122,31.8,69,89,32,118
646,3.872,0.325109962,31.8,69,89,32,116
648,3.77832,0.32103696,31.8,69,89,32,113
650,3.85639,0.319902997,31.8,69,89,32,120
652,3.88761,0.309774452,31.8,69,89,32,125
654,3.79394,0.319345735,31.8,69,89,32,121
656,3.85639,0.281975035,31.8,69,89,32,119
658,3.872,0.280484049,31.8,69,89,32,123
660,3.79394,0.306322545,31.8,69,89,32,117
662,3.77832,0.280290276,31.8,69,89,32,120
664,3.77832,0.298310693,31.8,69,89,32,119
666,3.79394,0.324148573,31.8,69,89,32,124
668,3.79394,0.320319581,31.8,69,89,32,121
670,3.82516,0.282871715,31.8,69,89,32,116
672,3.77832,0.308068669,31.8,69,89,32,118
674,3.79394,0.31313925,31.8,69,89,32,123
676,3.79394,0.295581054,31.8,69,89,32,118
678,3.84077,0.322053177,31.8,69,89,32,121
680,3.84077,0.329014455,31.8,69,89,32,123
682,3.84077,0.295419342,31.8,69,89,32,113
684,3.84077,0.317217476,31.8,69,89,32,120
686,3.85639,0.290036848,31.8,69,89,32,118
688,3.872,0.293194752,31.8,69,89,32,116
690,3.77832,0.321452225,31.8,69,89,32,117
692,3.76271,0.324688413,31.8,68,89,32,124
694,3.77832,0.318685558,31.8,68,89,32,110
696,3.79394,0.290743668,31.8,68,89,32,111
698,3.84077,0.284083965,31.8,68,89,32,114
700,3.85639,0.311102039,31.8,68,89,32,124
702,3.82516,0.316066978,31.8,68,89,32,118
704,3.82516,0.328902021,31.8,68,89,32,122
706,3.77832,0.311132078,31.8,68,89,32,124
708,3.80955,0.302471074,31.8,68,89,32,119
710,3.84077,0.295798258,31.8,68,89,32,115
712,3.82516,0.313830357,31.8,68,89,32,113
714,3.7471,0.313756943,31.8,67,89,32,117
716,3.82516,0.310265875,31.8,67,89,32,118
718,3.82516,0.32618737,31.8,67,89,32,123
720,3.85639,0.313177439,31.8,67,89,32,113
722,3.84077,0.28251206,31.8,67,89,32,119
724,3.73148,0.301012879,31.8,66,88,32,117
726,3.82516,0.285589925,31.8,66,88,32,116
728,3.7471,0.281243203,31.8,66,88,32,118
730,3.84077,0.297781403,31.8,66,88,32,121
732,3.76271,0.283199187,31.8,66,88,32,113
734,3.85639,0.305797381,31.8,66,88,32,115
736,3.84077,0.297602923,31.8,66,88,32,116
738,3.7471,0.317730565,31.8,66,88,32,112
740,3.84077,0.317351547,31.8,66,88,32,119
742,3.84077,0.309536998,31.8,66,88,32,112
744,3.82516,0.310763427,31.8,66,88,32,119
746,3.82516,0.329246409,31.8,66,88,32,125
748,3.76271,0.28198994,31.8,66,88,32,124
750,3.82516,0.319476794,31.8,66,88,32,114
752,3.82516,0.283534046,31.8,66,88,32,123
754,3.73148,0.289984151,31.8,66,88,32,118
756,3.84077,0.295927158,31.8,66,88,32,111
758,3.84077,0.312245933,31.8,66,88,32,115
760,3.7471,0.286860976,31.8,66,88,32,121
762,3.76271,0.288543399,31.8,66,88,32,113
764,3.7471,0.29563944,31.8,66,88,32,112
766,3.84077,0.299717955,31.8,66,88,32,125
768,3.80955,0.306048536,31.8,66,88,32,118
770,3.84077,0.312399501,31.8,66,88,32,115
772,3.80955,0.295179923,31.8,66,88,32,124
774,3.7471,0.292697987,31.8,66,88,32,120
776,3.66903,0.29252109,31.8,62,87,32,125
778,3.68465,0.296568984,31.8,62,87,32,114
780,3.80955,0.310360593,31.8,62,87,32,110
782,3.71587,0.307605261,31.8,62,87,32,111
784,3.79394,0.286815164,31.8,62,87,32,122
786,3.7471,0.293071416,31.8,62,87,32,117
